Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Mileage_per_Year,Premium_Brand,High_Mileage
90,2014,3.35,5.59,27000,2,0,1,0,11,2250.0,0,0
93,2013,4.75,9.54,43000,1,0,1,0,12,3307.692307692308,0,1
68,2017,7.25,9.85,6900,2,0,1,0,8,766.6666666666666,0,0
96,2011,2.85,4.15,5200,2,0,1,0,14,346.6666666666667,0,0
92,2014,4.6,6.87,42450,1,0,1,0,11,3537.5,0,1
95,2018,9.25,9.83,2071,1,0,1,0,7,258.875,0,0
68,2015,6.75,8.12,18796,2,0,1,0,10,1708.7272727272727,0,0
91,2015,6.5,8.61,33429,1,0,1,0,10,3039.0,0,1
68,2016,8.75,8.89,20273,1,0,1,0,9,2027.3,0,0
68,2015,7.45,8.92,42367,1,0,1,0,10,3851.5454545454554,0,1
62,2017,2.85,3.6,2135,2,0,1,0,8,237.22222222222223,0,0
68,2015,6.85,10.38,51000,1,0,1,0,10,4636.363636363636,0,1
68,2015,7.5,9.94,15000,2,0,0,0,10,1363.6363636363635,0,0
76,2015,6.1,7.71,26000,2,0,1,0,10,2363.6363636363635,0,0
73,2009,2.25,7.21,77427,2,0,1,0,16,4554.529411764706,0,1
76,2016,7.75,10.79,43000,1,0,1,0,9,4300.0,0,1
76,2015,7.25,10.79,41678,1,0,1,0,10,3788.909090909091,0,1
76,2016,7.75,10.79,43000,1,0,1,0,9,4300.0,0,1
96,2015,3.25,5.09,35500,0,0,1,0,10,3227.2727272727275,0,1
93,2010,2.65,7.98,41442,2,0,1,0,15,2590.125,0,1
63,2016,2.85,3.95,25000,2,0,1,0,9,2500.0,0,0
85,2017,4.9,5.71,2400,2,0,1,0,8,266.6666666666667,0,0
93,2011,4.4,8.01,50000,2,0,0,0,14,3333.333333333333,0,1
63,2014,2.5,3.46,45280,2,0,1,0,11,3773.3333333333335,0,1
96,2013,2.9,4.41,56879,2,0,1,0,12,4375.307692307692,0,1
92,2011,3.0,4.99,20000,2,0,1,0,14,1333.3333333333333,0,0
92,2013,4.15,5.87,55138,2,0,1,0,12,4241.384615384615,0,1
92,2017,6.0,6.49,16200,2,1,1,0,8,1800.0,0,0
63,2010,1.95,3.95,44542,2,0,1,0,15,2783.875,0,1
68,2015,7.45,10.38,45000,1,0,1,0,10,4090.909090909091,0,1
90,2012,3.1,5.98,51439,1,0,1,0,13,3674.214285714286,0,1
90,2011,2.35,4.89,54200,2,0,1,0,14,3613.3333333333335,0,1
92,2014,4.95,7.49,39000,1,0,1,0,11,3250.0,0,1
76,2014,6.0,9.95,45000,1,0,1,0,11,3750.0,0,1
73,2014,5.5,8.06,45000,1,0,1,0,11,3750.0,0,1
93,2011,2.95,7.74,49998,0,0,1,0,14,3333.2,0,1
73,2015,4.65,7.2,48767,2,0,1,0,10,4433.363636363636,0,1
0,2003,0.35,2.28,127000,2,1,1,0,22,5521.739130434783,0,1
63,2016,3.0,3.76,10079,2,0,1,0,9,1007.9,0,0
93,2003,2.25,7.98,62000,2,0,1,0,22,2695.6521739130435,0,1
65,2016,5.85,7.87,24524,2,0,0,0,9,2452.4,0,0
63,2014,2.55,3.98,46706,2,0,1,0,11,3892.1666666666665,0,1
93,2008,1.95,7.15,58000,2,0,1,0,17,3222.222222222222,0,1
73,2014,5.5,8.06,45780,1,0,1,0,11,3815.0,0,1
89,2012,1.25,2.69,50000,2,0,1,0,13,3571.428571428572,0,1
68,2014,7.5,12.04,15000,2,0,0,0,11,1250.0,0,0
90,2013,2.65,4.89,64532,2,0,1,0,12,4964.0,0,1
96,2006,1.05,4.15,65000,2,0,1,0,19,3250.0,0,1
76,2015,5.8,7.71,25870,2,0,1,0,10,2351.818181818182,0,0
68,2017,7.75,9.29,37000,2,0,0,0,8,4111.111111111111,0,1
81,2012,14.9,30.61,104707,1,0,0,0,13,7479.071428571428,0,1
81,2015,23.0,30.61,40000,1,0,0,0,10,3636.363636363637,0,1
86,2017,18.0,19.77,15000,1,0,0,0,8,1666.6666666666667,0,0
81,2013,16.0,30.61,135000,1,1,0,0,12,10384.615384615385,0,1
86,2005,2.75,10.21,90000,2,1,1,0,20,4285.714285714285,0,1
71,2009,3.6,15.04,70000,2,0,0,0,16,4117.64705882353,0,1
77,2015,4.5,7.27,40534,2,0,1,0,10,3684.909090909091,0,1
71,2010,4.75,18.54,50000,2,0,1,0,15,3125.0,0,1
78,2014,4.1,6.8,39485,2,0,1,1,11,3290.4166666666665,0,1
81,2014,19.99,35.96,41000,1,0,0,0,11,3416.6666666666665,0,1
71,2013,6.95,18.61,40001,2,0,1,0,12,3077.0,0,1
77,2015,4.5,7.7,40588,2,0,1,0,10,3689.818181818182,0,1
81,2014,18.75,35.96,78000,1,0,0,0,11,6500.0,0,1
81,2015,23.5,35.96,47000,1,0,0,0,10,4272.727272727273,0,1
81,2017,33.0,36.23,6000,1,0,0,0,8,666.6666666666666,0,0
80,2014,4.75,6.95,45000,1,0,1,0,11,3750.0,0,1
86,2017,19.75,23.15,11000,2,0,0,0,8,1222.2222222222222,0,0
81,2010,9.25,20.45,59000,1,0,1,0,15,3687.5,0,1
71,2011,4.35,13.74,88000,2,0,1,0,14,5866.666666666667,0,1
71,2016,14.25,20.91,12000,2,0,1,0,9,1200.0,0,0
80,2014,3.95,6.76,71000,1,0,1,0,11,5916.666666666667,0,1
71,2011,4.5,12.48,45000,1,0,1,0,14,3000.0,0,1
71,2013,7.45,18.61,56001,2,0,1,0,12,4307.769230769231,0,1
80,2011,2.65,5.71,43000,2,0,1,0,14,2866.6666666666665,0,1
77,2014,4.9,8.93,83000,1,0,1,0,11,6916.666666666667,0,1
78,2015,3.95,6.8,36000,2,0,1,0,10,3272.7272727272725,0,1
71,2013,5.5,14.68,72000,2,0,1,0,12,5538.461538461538,0,1
70,2004,1.5,12.35,135154,2,0,0,0,21,6143.363636363636,0,1
71,2010,5.25,22.83,80000,2,0,0,0,15,5000.0,0,1
81,2012,14.5,30.61,89000,1,0,0,0,13,6357.142857142857,0,1
71,2016,14.73,14.89,23000,1,0,1,0,9,2300.0,0,0
79,2015,4.75,7.85,40000,1,0,1,0,10,3636.363636363637,0,1
86,2017,23.0,25.39,15000,1,0,0,0,8,1666.6666666666667,0,0
86,2015,12.5,13.46,38000,1,0,1,0,10,3454.5454545454545,0,1
86,2005,3.49,13.46,197176,1,0,1,0,20,9389.333333333334,0,1
67,2006,2.5,23.73,142000,2,1,0,3,19,7100.0,0,1
88,2010,35.0,92.6,78000,1,0,1,0,15,4875.0,0,1
71,2012,5.9,13.74,56000,2,0,1,0,13,4000.0,0,1
80,2013,3.45,6.05,47000,2,0,1,0,12,3615.3846153846152,0,1
78,2014,4.75,6.76,40000,2,0,1,0,11,3333.333333333333,0,1
71,2009,3.8,18.61,62000,2,0,1,0,16,3647.058823529412,0,1
86,2014,11.25,16.09,58242,1,0,1,0,11,4853.5,0,1
86,2005,3.51,13.7,75000,2,0,1,0,20,3571.428571428572,0,1
81,2015,23.0,30.61,40000,1,0,0,0,10,3636.363636363637,0,1
71,2008,4.0,22.78,89000,2,0,0,0,17,4944.444444444444,0,1
71,2012,5.85,18.61,72000,2,0,1,0,13,5142.857142857143,0,1
86,2016,20.75,25.39,29000,1,0,0,0,9,2900.0,0,0
71,2017,17.0,18.64,8700,2,0,1,0,8,966.6666666666666,0,0
71,2013,7.05,18.61,45000,2,0,1,0,12,3461.538461538461,0,1
81,2010,9.65,20.45,50024,1,0,1,0,15,3126.5,0,1
49,2016,1.75,1.9,3000,2,1,1,0,9,300.0,0,0
56,2017,1.7,1.82,1400,2,1,1,0,8,155.55555555555554,0,0
42,2017,1.65,1.78,4000,2,1,1,0,8,444.44444444444446,0,0
11,2017,1.45,1.6,1200,2,1,1,0,8,133.33333333333334,0,0
46,2017,1.35,1.47,4100,2,1,1,0,8,455.55555555555554,0,0
43,2015,1.35,2.37,21700,2,1,1,0,10,1972.7272727272727,0,0
40,2014,1.35,3.45,16500,2,1,1,1,11,1375.0,0,0
48,2013,1.25,1.5,15000,2,1,1,0,12,1153.8461538461538,0,0
48,2016,1.2,1.5,18000,2,1,1,0,9,1800.0,0,0
46,2017,1.2,1.47,11000,2,1,1,0,8,1222.2222222222222,0,0
42,2016,1.2,1.78,6000,2,1,1,0,9,600.0,0,0
48,2016,1.15,1.5,8700,2,1,1,0,9,870.0,0,0
41,2014,1.15,2.4,7000,2,1,1,0,11,583.3333333333334,0,0
44,2016,1.15,1.4,35000,2,1,1,0,9,3500.0,0,1
46,2015,1.15,1.47,17000,2,1,1,0,10,1545.4545454545455,0,0
46,2015,1.11,1.47,17500,2,1,1,0,10,1590.909090909091,0,0
46,2013,1.1,1.47,33000,2,1,1,0,12,2538.4615384615386,0,1
49,2015,1.1,1.9,14000,2,1,1,0,10,1272.7272727272727,0,0
46,2015,1.1,1.47,26000,2,1,1,0,10,2363.6363636363635,0,0
49,2013,1.05,1.9,5400,2,1,1,0,12,415.38461538461536,0,0
17,2016,1.05,1.26,5700,2,1,1,0,9,570.0,0,0
48,2011,1.05,1.5,6900,2,1,1,0,14,460.0,0,0
45,2016,1.05,1.17,6000,2,1,1,0,9,600.0,0,0
46,2013,1.0,1.47,46500,2,1,1,0,12,3576.923076923077,0,1
47,2012,0.95,1.75,11500,2,1,1,0,13,821.4285714285714,0,0
47,2009,0.9,1.75,40000,2,1,1,0,16,2352.9411764705883,0,1
6,2017,0.9,0.95,1300,2,1,1,0,8,144.44444444444446,0,0
4,2016,0.75,0.8,7000,2,1,1,0,9,700.0,0,0
32,2017,0.8,0.87,3000,2,1,1,0,8,333.3333333333333,1,0
60,2017,0.78,0.84,5000,2,1,1,0,8,555.5555555555555,0,0
32,2017,0.75,0.87,11000,2,1,1,0,8,1222.2222222222222,1,0
58,2015,0.75,0.82,18000,2,1,1,0,10,1636.3636363636365,0,0
6,2017,0.75,0.95,3500,2,1,1,0,8,388.8888888888889,0,0
6,2016,0.72,0.95,500,2,1,1,0,9,50.0,0,0
51,2017,0.65,0.81,11800,2,1,1,0,8,1311.111111111111,0,0
14,2015,0.65,0.74,5000,2,1,1,0,10,454.54545454545456,0,0
37,2014,0.65,1.2,23500,2,1,1,0,11,1958.3333333333333,1,0
20,2013,0.65,0.787,16000,2,1,1,0,12,1230.7692307692307,0,0
32,2016,0.6,0.87,15000,2,1,1,0,9,1500.0,1,0
