Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Mileage_per_Year,Premium_Brand,High_Mileage
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,11,2250.0,0,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,12,3307.6923076923076,0,1
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,8,766.6666666666666,0,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,14,346.6666666666667,0,0
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,11,3537.5,0,1
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,7,258.875,0,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,10,1708.7272727272727,0,0
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,10,3039.0,0,1
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,9,2027.3,0,0
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,10,3851.5454545454545,0,1
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,8,237.22222222222223,0,0
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,10,4636.363636363636,0,1
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,10,1363.6363636363637,0,0
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,10,2363.6363636363635,0,0
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,16,4554.529411764706,0,1
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,9,4300.0,0,1
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,10,3788.909090909091,0,1
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,9,4300.0,0,1
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,10,3227.2727272727275,0,1
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,15,2590.125,0,1
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,9,2500.0,0,0
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,8,266.6666666666667,0,0
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,14,3333.3333333333335,0,1
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,11,3773.3333333333335,0,1
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,12,4375.307692307692,0,1
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,14,1333.3333333333333,0,0
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,12,4241.384615384615,0,1
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,8,1800.0,0,0
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,15,2783.875,0,1
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,10,4090.909090909091,0,1
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,13,3674.214285714286,0,1
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,14,3613.3333333333335,0,1
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,11,3250.0,0,1
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,11,3750.0,0,1
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,11,3750.0,0,1
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,14,3333.2,0,1
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,10,4433.363636363636,0,1
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,22,5521.739130434783,0,1
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,9,1007.9,0,0
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,22,2695.6521739130435,0,1
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,9,2452.4,0,0
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,11,3892.1666666666665,0,1
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,17,3222.222222222222,0,1
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,11,3815.0,0,1
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,13,3571.4285714285716,0,1
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,11,1250.0,0,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,12,4964.0,0,1
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,19,3250.0,0,1
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,10,2351.818181818182,0,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,8,4111.111111111111,0,1
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,13,7479.071428571428,0,1
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,10,3636.3636363636365,0,1
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,8,1666.6666666666667,0,0
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,12,10384.615384615385,0,1
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,20,4285.714285714285,0,1
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,16,4117.64705882353,0,1
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,10,3684.909090909091,0,1
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,15,3125.0,0,1
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,11,3290.4166666666665,0,1
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,11,3416.6666666666665,0,1
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,12,3077.0,0,1
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,10,3689.818181818182,0,1
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,11,6500.0,0,1
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,10,4272.727272727273,0,1
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,8,666.6666666666666,0,0
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,11,3750.0,0,1
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,8,1222.2222222222222,0,0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,15,3687.5,0,1
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,14,5866.666666666667,0,1
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,9,1200.0,0,0
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,11,5916.666666666667,0,1
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,14,3000.0,0,1
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,12,4307.7692307692305,0,1
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,14,2866.6666666666665,0,1
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,11,6916.666666666667,0,1
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,10,3272.7272727272725,0,1
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,12,5538.461538461538,0,1
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,21,6143.363636363636,0,1
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,15,5000.0,0,1
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,13,6357.142857142857,0,1
